,Date,VIX_change_type,"('polarity', 'mean')","('polarity', 'max')","('polarity', 'min')","('word_mentions', 'sum')","('dot', 'sum')","('DT', 'count')",dow_d_min_1,dow_d_min_2,dow_d_min_3,dow_d_min_4,dow_d_min_5
3456,2017-09-22,0,0.006168831142857144,0.11818181800000001,-0.075,0.0,0.0,7.0,62.958984999997476,98.58007799999905,45.29882799999905,72.26953199999843,60.5
3457,2017-09-25,0,0.2500337742666666,1.0,-0.488333333,2.0,3.0,30.0,64.7304690000019,62.958984999997476,98.58007799999905,45.29882799999905,72.26953199999843
3458,2017-09-26,0,0.11301282046153846,0.8,-0.327777778,0.0,2.0,13.0,140.77148400000078,64.7304690000019,62.958984999997476,98.58007799999905,45.29882799999905
3459,2017-09-27,0,0.36439236112499995,1.0,-0.12222222199999999,1.0,1.0,16.0,89.83007799999905,140.77148400000078,64.7304690000019,62.958984999997476,98.58007799999905
3460,2017-09-28,0,0.208887987,0.4,0.0,1.0,0.0,8.0,116.16992100000058,89.83007799999905,140.77148400000078,64.7304690000019,62.958984999997476
3461,2017-09-29,0,0.2791666666153846,0.75,-0.0125,2.0,4.0,13.0,105.76953100000172,116.16992100000058,89.83007799999905,140.77148400000078,64.7304690000019
3462,2017-10-02,0,0.20445095490625004,1.0,-1.0,8.0,9.0,32.0,72.66992100000061,105.76953100000172,116.16992100000058,89.83007799999905,140.77148400000078
3463,2017-10-03,0,0.2317708335,0.363541667,0.1,0.0,0.0,2.0,143.38085900000078,72.66992100000061,105.76953100000172,116.16992100000058,89.83007799999905
3464,2017-10-04,0,0.43720238100000003,1.0,-0.13125,1.0,0.0,7.0,83.41992200000095,143.38085900000078,72.66992100000061,105.76953100000172,116.16992100000058
3465,2017-10-05,0,0.24777777780000002,0.625,0.0,3.0,0.0,5.0,53.138671999997314,83.41992200000095,143.38085900000078,72.66992100000061,105.76953100000172
3466,2017-10-06,0,-0.075,1.0,-1.0,0.0,0.0,5.0,121.89843800000016,53.138671999997314,83.41992200000095,143.38085900000078,72.66992100000061
3467,2017-10-09,1,0.15704861104545456,0.8,-0.4,4.0,7.0,22.0,42.82031300000017,121.89843800000016,53.138671999997314,83.41992200000095,143.38085900000078
3468,2017-10-10,0,0.21861111111111112,0.8,-0.25,0.0,1.0,9.0,63.988281999998435,42.82031300000017,121.89843800000016,53.138671999997314,83.41992200000095
3469,2017-10-11,0,0.061306818124999996,0.7,-0.875,4.0,3.0,8.0,79.51953199999843,63.988281999998435,42.82031300000017,121.89843800000016,53.138671999997314
3470,2017-10-12,0,0.32281746026666663,1.0,-0.291666667,3.0,1.0,15.0,51.23046899999825,79.51953199999843,63.988281999998435,42.82031300000017,121.89843800000016
3471,2017-10-13,0,0.030402930461538455,0.483333333,-0.45,0.0,2.0,13.0,63.68945399999939,51.23046899999825,79.51953199999843,63.988281999998435,42.82031300000017
3472,2017-10-16,0,0.1833559404,0.6416666670000001,-0.194444444,3.0,2.0,15.0,49.400389999998886,63.68945399999939,51.23046899999825,79.51953199999843,63.988281999998435
3473,2017-10-17,0,0.300189394,0.9125,-0.1375,5.0,0.0,8.0,73.0,49.400389999998886,63.68945399999939,51.23046899999825,79.51953199999843
3474,2017-10-18,0,0.23011904764285715,0.9,-0.333333333,2.0,1.0,14.0,53.96875,73.0,49.400389999998886,63.68945399999939,51.23046899999825
3475,2017-10-19,0,0.0809722222,0.55625,-0.625,0.0,1.0,10.0,86.17968800000017,53.96875,73.0,49.400389999998886,63.68945399999939
3476,2017-10-20,0,0.24588690470000002,1.0,-0.35,0.0,3.0,10.0,114.57031199999984,86.17968800000017,53.96875,73.0,49.400389999998886
3477,2017-10-23,0,0.1118718434090909,0.9,-0.4,7.0,3.0,22.0,127.06054699999731,114.57031199999984,86.17968800000017,53.96875,73.0
3478,2017-10-24,1,0.044907407444444464,0.5,-0.7,0.0,4.0,9.0,94.40820299999905,127.06054699999731,114.57031199999984,86.17968800000017,53.96875
3479,2017-10-25,0,0.4370238095714286,1.0,-0.2875,5.0,0.0,7.0,142.0195310000017,94.40820299999905,127.06054699999731,114.57031199999984,86.17968800000017
3480,2017-10-26,0,0.30484375,1.0,0.0,3.0,0.0,14.0,200.4003909999992,142.0195310000017,94.40820299999905,127.06054699999731,114.57031199999984
